dataset	sample_ID	genes_1	genes_2	breakpoint1	breakpoint2	status	support_split	support_span	filters	source	duplicates	nb_sources
simulated	SRR7646883_sim_100_20_merged	DDX10	DDX10	11:108723462	11:108688936	FP	3	3	Inner;s0_Local;s0_LowEvidence	manta	11:108723462->11:108715879	1
simulated	SRR7646883_sim_100_20_merged	PAFAH1B2	PAFAH1B2	11:117163892	11:117152441	FP	9	2	Inner;s0_Local	manta	11:117164122->11:117151508	1
simulated	SRR7646883_sim_100_20_merged	PAFAH1B2	intergenic	11:117169483	12:12569833	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	PAFAH1B2	CLVS1	11:117169483	8:61171322	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	KMT2A	AFF1	11:118484314	4:87084120	FP	8	0	s0_LowEvidence	manta		4
simulated	SRR7646883_sim_100_20_merged	KMT2A	KMT2A	11:118499420	11:118497936	FP	2	2	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	DDX6	DDX6	11:118754705	11:118758902	FP	3	3	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	FLI1	FLI1	11:128772985	11:128758115	FP	16	9	Inner;s0_Local	manta	11:128782023->11:128758115,11:128772985->11:128768118,11:128782023->11:128768118	1
simulated	SRR7646883_sim_100_20_merged	KDM5A	KDM5A	12:350621	12:354234	FP	11	5	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	ERC1	ERC1	12:1028572	12:998324	FP	3	2	Inner;s0_Local;s0_LowEvidence	manta	12:1190052->12:1180540,12:1290012->12:1236769,12:1444750->12:1371833	1
simulated	SRR7646883_sim_100_20_merged	LINC01619	NUP88;RABEP1	12:92021018	17:5385450	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	BCL7A	BCL7A	12:122044053	12:122030700	FP	6	5	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	ZMYM2	ZMYM2	13:20006586	13:20002850	FP	26	14	Inner;s0_Local	manta	13:20006586->13:19993063,13:20067390->13:20051433,13:20083032->13:20064451	1
simulated	SRR7646883_sim_100_20_merged	AL136419.1;DHRS4L2	MYO5A	14:24001384	15:52407399	FP	59	0	s0_LowEvidence	manta		1
simulated	SRR7646883_sim_100_20_merged	AL136419.1;DHRS4L1	MYO5A	14:24048677	15:52407399	FP	56	0	s0_LowEvidence	manta		1
simulated	SRR7646883_sim_100_20_merged	BCL11B	BCL11B	14:99231345	14:99257836	FP	2	2	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_100_20_merged	IGHV6-1	MAST4	14:105939756	5:66689913	FP	0	0	IG;Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	IGHV3-11	intergenic	14:106116635	5:63294598	FP	0	0	IG;Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	IGHV1-24	intergenic	14:106276985	14:106784471	FP	0	0	IG;Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	intergenic	IGHV3-29	14:106347928	14:106356453	FP	0	3	IG;Imprecise	manta	14:106348570->14:106356453	1
simulated	SRR7646883_sim_100_20_merged	GOLGA8A	HKR1	15:34385254	19:37347872	FP	100	20	PASS	manta		3
simulated	SRR7646883_sim_100_20_merged	CREBBP	CREBBP	16:3749627	16:3770986	FP	3	3	Inner;s0_Local;s0_LowEvidence	manta	16:3810603->16:3851009,16:3738559->16:3740549	1
simulated	SRR7646883_sim_100_20_merged	CIITA;DEXI	CIITA	16:10931043	16:10925575	FP	7	5	Inner;s0_Local;s0_LowEvidence	manta	16:10931043->16:10924498	1
simulated	SRR7646883_sim_100_20_merged	IL21R	IL21R	16:27437687	16:27434347	FP	2	2	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	CBFB	SDAD1	16:67099443	4:75946810	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	IRF8	IRF2	16:85909173	4:184454516	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	CBFA2T3	CBFA2T3	16:88891882	16:88901656	FP	3	3	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_100_20_merged	RABEP1	RABEP1	17:5346925	17:5308694	FP	2	3	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_100_20_merged	intergenic	NUP88;RABEP1	2:116464978	17:5383741	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	NUP88;RABEP1	ZBTB21	17:5384764	21:41992181	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	AC004702.1;SPECC1	AC004702.1;SPECC1	17:20205912	17:20204333	FP	518	422	Inner;s0_Local	manta	17:20232405->17:20204333	1
simulated	SRR7646883_sim_100_20_merged	MSI2	MSI2	17:57268553	17:57266646	FP	8	12	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	intergenic	MSI2	21:8988602	17:57679811	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	MSI2	intergenic	17:57681252	9:34534972	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	RNF213	RNF213	17:80291827	17:80289659	FP	4	4	Inner;s0_Local;s0_LowEvidence	manta	17:80295813->17:80294720	1
simulated	SRR7646883_sim_100_20_merged	FP671120.1	RNF213	21:8215335	17:80347701	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	AC104365.1;MALT1	AC104365.1;MALT1	18:58700591	18:58696366	FP	6	2	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_100_20_merged	TPM4	TPM4	19:16101409	19:16080915	FP	0	2	Imprecise;Inner;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	TPM4	FP236383.1	19:16102835	21:8400249	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	PPP1CB;SPDYA	PPP1CB	2:28799433	2:28752038	FP	0	3	Imprecise;Inner	manta		1
simulated	SRR7646883_sim_100_20_merged	PPP1CB;SPDYA	PPP1CB;SPDYA	2:28788809	2:28783907	FP	7	2	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_100_20_merged	YPEL5	BCL11A	2:30147062	2:60546300	FP	3	0	s0_LowEvidence	manta		4
simulated	SRR7646883_sim_100_20_merged	BIRC6	AL162417.1;RALGDS	2:32503039	9:133099485	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	PPP4R3B	BCL11A	2:55615451	2:60462424	FP	2	2	PASS	manta		3
simulated	SRR7646883_sim_100_20_merged	FP236383.1	BCL11A	21:8397789	2:60553286	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	IGKV4-1	intergenic	2:88886153	9:78416527	FP	0	0	IG;Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	AFF3	AFF3	2:100006632	2:100008932	FP	6	6	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	TTL	TTL	2:112503181	2:112501206	FP	2	2	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	AL035658.1;EP300;EP300-AS1	intergenic	22:41179909	2:193238570	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	SF3B1	SF3B1	2:197416741	2:197420542	FP	23	14	Inner;s0_Local	manta	2:197418896->2:197420227	1
simulated	SRR7646883_sim_100_20_merged	PLCG1-AS1;TOP1	TOP1	20:41101353	20:41092472	FP	14	7	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	LPP	intergenic	3:188883481	20:56678200	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	FP671120.1	NAMPT	21:8215114	7:106275750	FP	2	0	lowSupport;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_100_20_merged	FP671120.1	MYC	21:8215559	8:127740599	FP	0	0	Imprecise;lowSupport	manta	21:8215710->8:127740549,21:8215758->8:127740573	1
simulated	SRR7646883_sim_100_20_merged	FP671120.1	RUNX1	21:8215577	21:34888612	FP	0	2	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	FP671120.1	RUNX2	21:8216189	6:45422292	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	EWSR1	FP671120.1	22:29289572	21:8216235	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	intergenic	RUNX2	21:8441845	6:45422305	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	intergenic	PAX5	21:8988601	9:36837820	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	RUNX1	RUNX1	21:34799301	21:34859578	FP	2	2	Inner;s0_Local;s0_LowEvidence	manta	21:34834410->21:34859578	1
simulated	SRR7646883_sim_100_20_merged	AL035658.1;EP300	EP300	22:41173784	22:41125864	FP	0	2	Imprecise;Inner;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	EP300	EP300	22:41140257	22:41125864	FP	9	4	Inner;s0_Local	manta	22:41141222->22:41140140,22:41131633->22:41125864	1
simulated	SRR7646883_sim_100_20_merged	AL035658.1;EP300	AL035658.1;EP300	22:41173784	22:41172499	FP	14	13	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	AC097634.4;FOXP1	AC097634.4;FOXP1	3:71041328	3:71053773	FP	46	33	Inner;s0_Local	manta	3:71359150->3:71493555,3:71015549->3:71053773,3:71467251->3:71493555,3:70987994->3:71053773,3:71198202->3:71493555	1
simulated	SRR7646883_sim_100_20_merged	AC097634.4;FOXP1;FOXP1-AS1	AC097634.4;FOXP1	3:71299820	3:71493555	FP	13	5	Inner	manta		1
simulated	SRR7646883_sim_100_20_merged	TFG	TFG	3:100736716	3:100732508	FP	4	3	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_100_20_merged	LPP	LPP	3:188406313	3:188341663	FP	0	5	Imprecise;Inner	manta		1
simulated	SRR7646883_sim_100_20_merged	TFRC	TFRC	3:196073930	3:196075360	FP	5	5	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	NSD2	NSD2	4:1904378	4:1900626	FP	15	12	Inner;s0_Local	manta	4:1935262->4:1900626,4:1930770->4:1900626,4:1918623->4:1892166,4:1953524->4:1951072	1
simulated	SRR7646883_sim_100_20_merged	FBXL5	JAK2	4:15630666	9:5021963	FP	0	0	Imprecise;lowSupport	manta		3
simulated	SRR7646883_sim_100_20_merged	AC058822.1;FIP1L1	AC058822.1;FIP1L1	4:53428183	4:53414615	FP	106	3	Inner;s0_Local	manta	4:53444103->4:53425872,4:53444103->4:53428027	1
simulated	SRR7646883_sim_100_20_merged	AFF1	MYC	4:87047594	8:127738248	FP	86	0	s0_LowEvidence	manta	4:87007424->8:127738248	4
simulated	SRR7646883_sim_100_20_merged	SMAD5	SMAD5	5:136154163	5:136147832	FP	2	2	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_100_20_merged	NSD1	NSD1	5:177212195	5:177209636	FP	23	2	Inner;s0_Local;s0_LowEvidence	manta	5:177204292->5:177191884	1
simulated	SRR7646883_sim_100_20_merged	DEK	DEK	6:18236452	6:18258405	FP	117	47	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	RUNX2	RUNX2	6:45512407	6:45491941	FP	4	4	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	NCOA2	IMPG1	8:70213903	6:75976553	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	FGFR1OP;Z94721.2	FGFR1OP;Z94721.2	6:167033971	6:167022409	FP	5	4	Inner;s0_Local	manta	6:167040339->6:167022409	1
simulated	SRR7646883_sim_100_20_merged	TRGC2	TRGC2	7:38245183	7:38249572	FP	0	10	Imprecise;Inner	manta		1
simulated	SRR7646883_sim_100_20_merged	IKZF1	IKZF1	7:50327757	7:50319048	FP	18	13	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	DOCK5	IKZF1	8:25399040	7:50402680	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	SBDS	SBDS	7:66991137	7:66994341	FP	9	4	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_100_20_merged	CACNA2D1	PCM1	7:82424405	8:17972247	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	CDK6	CDK6	7:92725626	7:92774831	FP	3	3	Inner;s0_Local	manta	7:92611725->7:92613170	1
simulated	SRR7646883_sim_100_20_merged	TRIM24	TRIM24	7:138579532	7:138576373	FP	6	4	Inner;s0_Local;s0_LowEvidence	manta	7:138551180->7:138519189,7:138538803->7:138504290	1
simulated	SRR7646883_sim_100_20_merged	PCM1	PCM1	8:17993619	8:17989859	FP	6	2	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	NSD3	NSD3	8:38290475	8:38299590	FP	5	5	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	KAT6A	KAT6A	8:42048378	8:42049707	FP	24	22	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	NCOA2	NCOA2	8:70213903	8:70216764	FP	41	19	Inner;s0_Local	manta	8:70159505->8:70162854,8:70123884->8:70144848,8:70138203->8:70148483	1
simulated	SRR7646883_sim_100_20_merged	MYC	MYC	8:127740814	8:127738292	FP	0	3	Imprecise;Inner	manta		1
simulated	SRR7646883_sim_100_20_merged	PSIP1	PSIP1	9:15472678	9:15474167	FP	2	7	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_100_20_merged	PAX5	PAX5	9:37002648	9:37020801	FP	44	30	Inner;s0_Local	manta	9:36966549->9:37020801	1
simulated	SRR7646883_sim_100_20_merged	CNTRL	CNTRL	9:121166180	9:121161856	FP	32	3	Inner;s0_Local;s0_LowEvidence	manta	9:121160302->9:121152485,9:121090405->9:121088296,9:121160302->9:121146108,9:121175224->9:121146108	1
simulated	SRR7646883_sim_100_20_merged	AL157938.2;NUP214	AL157938.2;NUP214	9:131147584	9:131144280	FP	7	3	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_100_20_merged	BCOR	BCOR	X:40070973	X:40077969	FP	3	3	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_10_2_merged	CASK	COL13A1	X:41561559	10:69959142	TP	10	2	PASS	manta		3
simulated	SRR7646883_sim_10_2_merged	ANXA5	USP28	4:121671547	11:113831993	TP	10	2	PASS	manta		4
simulated	SRR7646883_sim_10_2_merged	DNMT3B	CDK8	20:32792626	13:26404081	TP	10	1	PASS	manta		3
simulated	SRR7646883_sim_10_2_merged	AC009264.1	SMARCA4	7:137032794	19:10984373	TP	10	2	PASS	manta		1
simulated	SRR7646883_sim_10_2_merged	UBAP2	AC067968.1;ZNF222	9:34048825	19:44033110	TP	10	1	PASS	manta		3
simulated	SRR7646883_sim_10_2_merged	AC087741.1;CARD14	FAM72B	17:80203833	1:121181271	TP	9	2	PASS	manta		3
simulated	SRR7646883_sim_10_2_merged	TTN;TTN-AS1	SAMD10	2:178597596	20:63979642	TP	10	2	PASS	manta		3
simulated	SRR7646883_sim_10_2_merged	SLC12A6	FLACC1	NA	NA	FN	NA	NA		manta		0
simulated	SRR7646883_sim_10_2_merged	NUDT9	DZIP3	4:87434224	3:108633070	TP	10	2	PASS	manta		3
simulated	SRR7646883_sim_10_2_merged	A2M;A2M-AS1	RUVBL1	12:9067712	3:128082574	TP	10	2	PASS	manta		3
simulated	SRR7646883_sim_10_2_merged	AC244502.1;TRDV2	KAZN	14:22423042	1:15017827	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	ZNF362	ZNF362	1:33281811	1:33276100	FP	2	2	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_10_2_merged	STIL	STIL	1:47280241	1:47282459	FP	15	11	Inner;s0_Local	manta	1:47295765->1:47304996	1
simulated	SRR7646883_sim_10_2_merged	TPM3	intergenic	1:154170791	21:8254042	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	ABL2	ABL2	1:179131311	1:179133374	FP	6	4	Inner;s0_Local	manta	1:179110282->1:179112398	1
simulated	SRR7646883_sim_10_2_merged	MLLT10	MLLT10	10:21727928	10:21713772	FP	4	3	Inner;s0_Local;s0_LowEvidence	manta	10:21713950->10:21681332	1
simulated	SRR7646883_sim_10_2_merged	TPM4	intergenic	19:16102918	10:37673615	FP	27	0	s0_LowEvidence	manta		1
simulated	SRR7646883_sim_10_2_merged	KAT6B	KAT6B	10:74843478	10:74838683	FP	7	6	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_10_2_merged	TPM4	CYP2C23P	19:16102875	10:100112667	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	NUP98	NUP98	11:3768581	11:3776021	FP	25	18	Inner;s0_Local	manta	11:3773632->11:3776021,11:3731391->11:3753408,11:3713818->11:3719550,11:3683200->11:3713995	1
simulated	SRR7646883_sim_10_2_merged	BCL11A	UVRAG	2:60459083	11:75847978	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	PICALM	PICALM	11:86022367	11:86031611	FP	38	2	Inner;s0_Local	manta	11:85996826->11:86031611,11:86007542->11:86031611	1
simulated	SRR7646883_sim_10_2_merged	DDX10	DDX10	11:108723462	11:108688936	FP	3	3	Inner;s0_Local;s0_LowEvidence	manta	11:108723462->11:108715879	1
simulated	SRR7646883_sim_10_2_merged	PAFAH1B2	PAFAH1B2	11:117163892	11:117152441	FP	9	2	Inner;s0_Local	manta	11:117164122->11:117151508	1
simulated	SRR7646883_sim_10_2_merged	PAFAH1B2	intergenic	11:117169483	12:12569833	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	PAFAH1B2	CLVS1	11:117169483	8:61171322	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	KMT2A	AFF1	11:118484314	4:87084120	FP	8	0	s0_LowEvidence	manta		4
simulated	SRR7646883_sim_10_2_merged	KMT2A	KMT2A	11:118499420	11:118497936	FP	2	2	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_10_2_merged	DDX6	DDX6	11:118754705	11:118758902	FP	3	3	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_10_2_merged	FLI1	FLI1	11:128772985	11:128758115	FP	16	9	Inner;s0_Local	manta	11:128782023->11:128758115,11:128772985->11:128768118,11:128782023->11:128768118	1
simulated	SRR7646883_sim_10_2_merged	KDM5A	KDM5A	12:350621	12:354234	FP	11	5	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_10_2_merged	ERC1	ERC1	12:1028572	12:998324	FP	3	2	Inner;s0_Local;s0_LowEvidence	manta	12:1190052->12:1180540,12:1290012->12:1236769,12:1444750->12:1371833	1
simulated	SRR7646883_sim_10_2_merged	LINC01619	NUP88;RABEP1	12:92021018	17:5385450	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	BCL7A	BCL7A	12:122044053	12:122030700	FP	6	5	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_10_2_merged	ZMYM2	ZMYM2	13:20006586	13:20002850	FP	26	14	Inner;s0_Local	manta	13:20006586->13:19993063,13:20067390->13:20051433,13:20083032->13:20064451	1
simulated	SRR7646883_sim_10_2_merged	BCL11B	BCL11B	14:99231345	14:99257836	FP	2	2	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_10_2_merged	IGHV6-1	MAST4	14:105939756	5:66689913	FP	0	0	IG;Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	IGHV3-11	intergenic	14:106116635	5:63294598	FP	0	0	IG;Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	IGHV1-24	intergenic	14:106276985	14:106784471	FP	0	0	IG;Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	intergenic	IGHV3-29	14:106347928	14:106356453	FP	0	3	IG;Imprecise	manta	14:106348570->14:106356453	1
simulated	SRR7646883_sim_10_2_merged	SLC12A6	ALS2CR12	15:34236708	2:201307622	FP	10	1	PASS	manta		4
simulated	SRR7646883_sim_10_2_merged	CREBBP	CREBBP	16:3749627	16:3770986	FP	3	3	Inner;s0_Local;s0_LowEvidence	manta	16:3810603->16:3851009,16:3738559->16:3740549	1
simulated	SRR7646883_sim_10_2_merged	CIITA;DEXI	CIITA	16:10931043	16:10925575	FP	7	5	Inner;s0_Local;s0_LowEvidence	manta	16:10931043->16:10924498	1
simulated	SRR7646883_sim_10_2_merged	IL21R	IL21R	16:27437687	16:27434347	FP	2	2	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_10_2_merged	CBFB	SDAD1	16:67099443	4:75946810	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	IRF8	IRF2	16:85909173	4:184454516	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	CBFA2T3	CBFA2T3	16:88891882	16:88901656	FP	3	3	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_10_2_merged	RABEP1	RABEP1	17:5346925	17:5308694	FP	2	3	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_10_2_merged	intergenic	NUP88;RABEP1	2:116464978	17:5383741	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	NUP88;RABEP1	ZBTB21	17:5384764	21:41992181	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	AC004702.1;SPECC1	AC004702.1;SPECC1	17:20205912	17:20204333	FP	518	422	Inner;s0_Local	manta	17:20232405->17:20204333	1
simulated	SRR7646883_sim_10_2_merged	MSI2	MSI2	17:57268553	17:57266646	FP	8	12	Inner;s0_Local	manta		1
simulated	SRR7646883_sim_10_2_merged	intergenic	MSI2	21:8988602	17:57679811	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	MSI2	intergenic	17:57681252	9:34534972	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	RNF213	RNF213	17:80291827	17:80289659	FP	4	4	Inner;s0_Local;s0_LowEvidence	manta	17:80295813->17:80294720	1
simulated	SRR7646883_sim_10_2_merged	FP671120.1	RNF213	21:8215335	17:80347701	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	AC104365.1;MALT1	AC104365.1;MALT1	18:58700591	18:58696366	FP	6	2	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_10_2_merged	TPM4	TPM4	19:16101409	19:16080915	FP	0	2	Imprecise;Inner;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	TPM4	FP236383.1	19:16102835	21:8400249	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	PPP1CB;SPDYA	PPP1CB	2:28799433	2:28752038	FP	0	3	Imprecise;Inner	manta		1
simulated	SRR7646883_sim_10_2_merged	PPP1CB;SPDYA	PPP1CB;SPDYA	2:28788809	2:28783907	FP	7	2	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_10_2_merged	YPEL5	BCL11A	2:30147062	2:60546300	FP	3	0	s0_LowEvidence	manta		4
simulated	SRR7646883_sim_10_2_merged	BIRC6	AL162417.1;RALGDS	2:32503039	9:133099485	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_10_2_merged	PPP4R3B	BCL11A	2:55615451	2:60462424	FP	2	2	PASS	manta		3
simulated	SRR7646883_sim_10_2_merged	FP236383.1	BCL11A	21:8397789	2:60553286	FP	0	0	Imprecise;lowSupport	manta		1
